"type_evenement","date","siren_epci_av","lib_epci_av","siren_epci_ap","lib_epci_ap","evenement_spatial"
"fusion","2022-01-01",200035459,"CA d'Agen",200096956,"CA Agglomération d'Agen","expansion"
"fusion","2022-01-01",200036572,"CC Porte d'Aquitaine en Pays de Serres",200096956,"CA Agglomération d'Agen","expansion"
"scission","2022-01-01",200067221,"CC Centre Morbihan Communauté",200096683,"CC Centre Morbihan Communauté","contraction"
"scission","2022-01-01",200067221,"CC Centre Morbihan Communauté",200096675,"CC Baud Communauté","contraction"
"scission","2022-01-01",200071157,"CC des Hautes Vosges",200096634,"CC des Hautes Vosges","contraction"
"scission","2022-01-01",200071157,"CC des Hautes Vosges",200096642,"CC Gérardmer Hautes Vosges","contraction"
"fusion","2021-01-01",245900410,"Métropole Européenne de Lille",200093201,"Métropole Européenne de Lille","expansion"
"fusion","2021-01-01",245901061,"CC de la Haute Deûle",200093201,"Métropole Européenne de Lille","expansion"
"scission","2020-01-01",200067510,"CC Monts et Vallées Ouest Creuse",242300135,"CC du Pays Sostranien","contraction"
"scission","2020-01-01",200067510,"CC Monts et Vallées Ouest Creuse",242320000,"CC de Bénévent Grand Bourg","contraction"
"scission","2020-01-01",200067510,"CC Monts et Vallées Ouest Creuse",242320109,"CC du Pays Dunois","contraction"
"fusion","2020-01-01",200033207,"CC Vierzon-Sologne-Berry",200090561,"CC Vierzon-Sologne-Berry et Villages de la Forêt","expansion"
"fusion","2020-01-01",241800325,"CC les Villages de la Forêt",200090561,"CC Vierzon-Sologne-Berry et Villages de la Forêt","expansion"
"fusion","2020-01-01",200035665,"CA Seine Eure",200089456,"CA Seine-Eure","expansion"
"fusion","2020-01-01",242700623,"CC Eure-Madrie-Seine",200089456,"CA Seine-Eure","expansion"
"fusion","2020-01-01",243900412,"CC Jura Sud",200090579,"CC Jura Sud, Pays des Lacs, Petite Montagne et Région d'Orgelet","expansion"
"fusion","2020-01-01",243900719,"CC du Pays des Lacs",200090579,"CC Jura Sud, Pays des Lacs, Petite Montagne et Région d'Orgelet","expansion"
"fusion","2020-01-01",200012060,"CC Petite Montagne",200090579,"CC Jura Sud, Pays des Lacs, Petite Montagne et Région d'Orgelet","expansion"
"fusion","2020-01-01",243901071,"CC de la Région d'Orgelet",200090579,"CC Jura Sud, Pays des Lacs, Petite Montagne et Région d'Orgelet","expansion"
"fusion","2020-01-01",200077055,"CA Coulommiers Pays de Brie",200090504,"CA Coulommiers Pays de Brie","expansion"
"fusion","2020-01-01",247700438,"CC Pays Créçois",200090504,"CA Coulommiers Pays de Brie","expansion"
